"","Tube","SampleDate","Location","rep","length","weight"
"1",1,"Early","Bottom",1,20.17,0.213
"2",1,"Early","Top",12,19.92,0.208
"3",1,"Early","Top",11,20.4,0.208
"4",1,"Early","Bottom",4,21.25,0.206
"5",1,"Early","Bottom",5,21.73,0.205
"6",1,"Early","Top",8,20.03,0.204
"7",1,"Early","Top",14,20.69,0.199
"8",1,"Early","Bottom",10,20.84,0.198
"9",1,"Early","Bottom",8,19.78,0.197
"10",1,"Early","Bottom",12,17.81,0.191
"11",1,"Early","Bottom",6,19.02,0.176
"12",1,"Early","Bottom",3,20.29,0.147
"13",1,"Early","Bottom",2,17.83,0.143
"14",1,"Early","Top",9,19.84,0.139
"15",1,"Early","Top",3,20.56,0.138
"16",1,"Early","Top",2,20.33,0.135
"17",1,"Early","Top",1,21.43,0.134
"18",1,"Early","Top",7,18.4,0.133
"19",1,"Early","Top",5,18.41,0.133
"20",1,"Early","Top",15,19.23,0.133
"21",1,"Early","Top",10,20.36,0.132
"22",1,"Early","Top",13,19.8,0.131
"23",1,"Early","Bottom",9,20.08,0.128
"24",1,"Early","Top",4,20.4,0.128
"25",1,"Early","Top",6,19.64,0.125
"26",1,"Early","Bottom",7,20.96,0.121
"27",1,"Early","Bottom",11,16.53,0.117
"41",2,"Early","Bottom",16,20.14,0.212
"42",2,"Early","Bottom",1,22.63,0.209
"43",2,"Early","Top",3,17.93,0.205
"44",2,"Early","Bottom",19,19.92,0.201
"45",2,"Early","Bottom",4,19.41,0.197
"46",2,"Early","Top",13,18.01,0.196
"47",2,"Early","Top",20,18.64,0.195
"48",2,"Early","Bottom",8,18.81,0.195
"49",2,"Early","Top",12,19.56,0.193
"50",2,"Early","Top",8,20.83,0.192
"51",2,"Early","Top",11,19.65,0.191
"52",2,"Early","Bottom",15,19.76,0.191
"53",2,"Early","Top",19,18.89,0.188
"54",2,"Early","Bottom",20,20.4,0.187
"55",2,"Early","Top",2,17.29,0.185
"56",2,"Early","Bottom",6,17.97,0.183
"57",2,"Early","Top",4,17.77,0.168
"58",2,"Early","Bottom",3,18.72,0.149
"59",2,"Early","Bottom",2,20.25,0.148
"60",2,"Early","Bottom",17,19.76,0.145
"61",2,"Early","Bottom",10,18.1,0.143
"62",2,"Early","Bottom",18,18.65,0.142
"63",2,"Early","Bottom",9,17.72,0.14
"64",2,"Early","Bottom",14,17.97,0.137
"65",2,"Early","Bottom",7,19.87,0.137
"66",2,"Early","Top",15,17.31,0.136
"67",2,"Early","Bottom",5,18.67,0.135
"68",2,"Early","Top",18,19.23,0.134
"69",2,"Early","Bottom",11,18.16,0.133
"70",2,"Early","Top",17,17.86,0.131
"71",2,"Early","Top",16,18.64,0.131
"72",2,"Early","Bottom",13,17.88,0.13
"73",2,"Early","Top",6,16.34,0.129
"74",2,"Early","Bottom",12,17.21,0.129
"75",2,"Early","Top",14,17.95,0.123
"76",2,"Early","Top",1,16.79,0.12
"77",2,"Early","Top",5,16.9,0.12
"78",2,"Early","Top",10,18.46,0.117
"79",2,"Early","Top",9,19.04,0.116
"80",2,"Early","Top",7,18.24,0.048
"81",3,"Early","Bottom",6,20.26,0.217
"82",3,"Early","Bottom",12,21.39,0.216
"83",3,"Early","Bottom",1,22.29,0.216
"84",3,"Early","Bottom",19,20.76,0.215
"85",3,"Early","Bottom",16,21.17,0.214
"86",3,"Early","Top",3,20.57,0.21
"87",3,"Early","Top",18,19.94,0.209
"88",3,"Early","Top",4,20,0.209
"89",3,"Early","Top",9,20.08,0.205
"90",3,"Early","Bottom",8,21.52,0.205
"91",3,"Early","Top",8,18.49,0.202
"92",3,"Early","Top",12,19.48,0.202
"93",3,"Early","Top",17,18.43,0.2
"94",3,"Early","Top",5,19.13,0.2
"95",3,"Early","Top",20,20.45,0.199
"96",3,"Early","Bottom",14,20.47,0.197
"97",3,"Early","Top",6,17.99,0.196
"98",3,"Early","Top",15,19.18,0.194
"99",3,"Early","Bottom",17,20.66,0.161
"100",3,"Early","Bottom",5,19.43,0.157
"101",3,"Early","Bottom",9,19.67,0.155
"102",3,"Early","Bottom",3,19.75,0.155
"103",3,"Early","Bottom",4,19.86,0.154
"104",3,"Early","Bottom",15,19.9,0.149
"105",3,"Early","Bottom",13,20.3,0.148
"106",3,"Early","Top",1,20.42,0.148
"107",3,"Early","Bottom",18,21.84,0.146
"108",3,"Early","Top",13,18.1,0.145
"109",3,"Early","Top",16,20.18,0.143
"110",3,"Early","Bottom",11,20.53,0.142
"111",3,"Early","Top",7,19.57,0.141
"112",3,"Early","Bottom",10,19.72,0.141
"113",3,"Early","Top",14,19.34,0.138
"114",3,"Early","Bottom",7,19.45,0.138
"115",3,"Early","Bottom",2,20.16,0.137
"116",3,"Early","Top",10,19.39,0.136
"117",3,"Early","Bottom",20,19.27,0.135
"118",3,"Early","Top",19,19.65,0.133
"119",3,"Early","Top",2,20,0.131
"120",3,"Early","Top",11,18.33,0.13
"121",4,"Early","Bottom",3,20.34,0.22
"122",4,"Early","Top",15,21.14,0.211
"123",4,"Early","Top",8,21.33,0.211
"124",4,"Early","Top",14,20.6,0.207
"125",4,"Early","Bottom",2,21.15,0.207
"126",4,"Early","Bottom",8,19.65,0.206
"127",4,"Early","Top",9,21.27,0.205
"128",4,"Early","Bottom",19,19.74,0.203
"129",4,"Early","Top",1,20.76,0.203
"130",4,"Early","Top",19,22.36,0.2
"131",4,"Early","Bottom",11,20.39,0.199
"132",4,"Early","Top",16,20.33,0.198
"133",4,"Early","Bottom",12,20.54,0.198
"134",4,"Early","Top",3,18.38,0.196
"135",4,"Early","Bottom",20,19.03,0.193
"136",4,"Early","Bottom",16,19.95,0.193
"137",4,"Early","Bottom",17,19.52,0.191
"138",4,"Early","Top",10,17.12,0.185
