"","egg","Olim","temp","velocity"
"1",1,0.708236,7,0.0025
"2",2,0.712826,7,0.0025
"3",3,0.728969,7,0.0025
"4",4,0.707991,7,0.0025
"5",5,0.719142,7,0.0025
"6",6,0.741852,7,0.0025
"7",7,0.717446,7,0.0025
"8",8,0.732666,7,0.0025
"9",9,0.725485,7,0.0025
"10",10,0.832239,7,0.0025
"11",11,0.725588,7,0.0025
"12",12,0.773947,7,0.0025
"13",13,0.778915,7,0.0025
"14",14,0.793677,7,0.0025
"15",15,0.768095,7,0.0025
"16",16,0.789664,7,0.0025
"17",17,0.798311,7,0.0025
"18",18,0.849808,7,0.0025
"19",19,0.769995,7,0.0025
"20",20,0.805478,7,0.0025
"21",21,0.842803,7,0.0025
"22",22,0.791364,7,0.0025
"23",23,0.863218,7,0.0025
"24",24,0.831175,7,0.0025
"25",25,0.800321,7,0.0025
"26",26,0.799746,7,0.0025
"27",27,0.800509,7,0.0025
"28",28,0.782774,7,0.0025
"29",29,0.799187,7,0.0025
"30",30,0.867071,7,0.0025
"31",31,0.844633,7,0.0025
"32",32,0.731009,7,0.0025
"33",33,0.854063,7,0.0025
"34",34,0.797805,7,0.0025
"35",35,0.811735,7,0.0025
"36",36,0.790974,7,0.0025
"37",37,0.838901,7,0.0025
"38",38,0.796956,7,0.0025
"39",39,0.771264,7,0.0025
"40",40,0.916389,7,0.0025
"41",41,0.888363,7,0.0025
"42",42,0.762736,7,0.0025
"43",43,0.81395,7,0.0025
"44",44,0.735555,7,0.0025
"45",45,0.791474,7,0.0025
"46",46,0.893031,7,0.0025
"47",47,0.859655,7,0.0025
"48",48,0.803373,7,0.0025
"49",49,0.892339,7,0.0025
"50",50,0.921137,7,0.0025
"51",51,0.896599,7,0.0025
"52",52,0.854219,7,0.0025
"53",53,0.903399,7,0.0025
"54",54,0.844924,7,0.0025
"55",55,0.874052,7,0.0025
"56",56,0.893227,7,0.0025
"57",57,0.88996,7,0.0025
"58",58,0.92113,7,0.0025
"59",59,0.916141,7,0.0025
"60",60,0.897237,7,0.0025
"61",61,0.794272,7,0.0025
"62",62,0.932618,7,0.0025
"63",63,0.813441,7,0.0025
"64",64,0.941238,7,0.0025
"65",65,0.931806,7,0.0025
"66",66,0.808361,7,0.0025
"67",67,0.876284,7,0.0025
"68",68,0.915091,7,0.0025
"69",69,0.932679,7,0.0025
"70",70,0.907235,7,0.0025
"71",71,0.888529,7,0.0025
"72",72,0.945451,7,0.0025
"73",73,0.950695,7,0.0025
"74",74,0.939957,7,0.0025
"75",75,0.946242,7,0.0025
"76",76,0.927978,7,0.0025
"77",77,0.881607,7,0.0025
"78",78,0.852623,7,0.0025
"79",79,0.950073,7,0.0025
"80",80,0.948632,7,0.0025
"81",81,0.846811,7,0.0025
"82",82,0.81897,7,0.0025
"83",83,0.899009,7,0.0025
"84",84,0.911036,7,0.0025
"85",85,0.950609,7,0.0025
"86",86,0.917568,7,0.0025
"87",87,0.965713,7,0.0025
"88",88,0.925404,7,0.0025
"89",89,0.91343,7,0.0025
"90",90,0.916906,7,0.0025
"91",91,0.955847,7,0.0025
"92",92,0.956371,7,0.0025
"93",93,0.86838,7,0.0025
"94",94,0.855499,7,0.0025
"95",95,0.85301,7,0.0025
"96",96,0.834699,7,0.0025
"97",97,0.94932,7,0.0025
"98",98,0.974514,7,0.0025
"99",99,0.966591,7,0.0025
"100",100,0.957755,7,0.0025
"101",101,0.907187,7,0.0025
"102",102,0.924586,7,0.0025
"103",103,0.764732,7,0.0025
"104",104,0.945283,7,0.0025
"105",105,0.912679,7,0.0025
"106",106,0.94838,7,0.0025
"107",107,0.973777,7,0.0025
"108",108,0.969273,7,0.0025
"109",109,0.844595,7,0.0025
"110",110,0.946961,7,0.0025
"111",111,0.945773,7,0.0025
"112",112,0.919225,7,0.0025
"113",113,0.917281,7,0.0025
"114",114,0.936082,7,0.0025
"115",115,0.951219,7,0.0025
"116",116,0.907514,7,0.0025
"117",117,0.97393,7,0.0025
"118",118,0.966053,7,0.0025
"119",119,0.946065,7,0.0025
"120",120,0.926063,7,0.0025
"121",121,0.908273,7,0.0025
"122",122,0.909564,7,0.0025
"123",123,0.975521,7,0.0025
"124",124,0.970831,7,0.0025
"125",125,0.957575,7,0.0025
"126",126,0.921015,7,0.0025
"253",1,0.612471,7,0.01
"254",2,0.611573,7,0.01
"255",3,0.62123,7,0.01
"256",4,0.602474,7,0.01
"257",5,0.614459,7,0.01
"258",6,0.652132,7,0.01
"259",7,0.616373,7,0.01
"260",8,0.619651,7,0.01
"261",9,0.611905,7,0.01
"262",10,0.694561,7,0.01
"263",11,0.61796,7,0.01
"264",12,0.649273,7,0.01
"265",13,0.650681,7,0.01
"266",14,0.668345,7,0.01
"267",15,0.645045,7,0.01
"268",16,0.626043,7,0.01
"269",17,0.678032,7,0.01
"270",18,0.699557,7,0.01
"271",19,0.660956,7,0.01
"272",20,0.667175,7,0.01
"273",21,0.694775,7,0.01
"274",22,0.638824,7,0.01
"275",23,0.726173,7,0.01
"276",24,0.663325,7,0.01
"277",25,0.650802,7,0.01
"278",26,0.655017,7,0.01
"279",27,0.663638,7,0.01
"280",28,0.635654,7,0.01
"281",29,0.648299,7,0.01
"282",30,0.693564,7,0.01
"283",31,0.691829,7,0.01
"284",32,0.595499,7,0.01
"285",33,0.704938,7,0.01
"286",34,0.647528,7,0.01
"287",35,0.658762,7,0.01
"288",36,0.6268,7,0.01
"289",37,0.688403,7,0.01
"290",38,0.645249,7,0.01
"291",39,0.618781,7,0.01
"292",40,0.761228,7,0.01
"293",41,0.704932,7,0.01
"294",42,0.627619,7,0.01
