"","Tube","temp","flow","rep","Location","survivors","morts","propS"
"1",1,15,0.04,5,"Bottom",12,87,0.121212121212121
"2",1,15,0.04,5,"Top",15,85,0.15
"3",2,15,0.04,1,"Bottom",37,63,0.37
"4",2,15,0.04,1,"Top",20,80,0.2
"5",3,15,0.12,2,"Bottom",92,8,0.92
"6",3,15,0.12,2,"Top",88,12,0.88
"7",4,15,0.04,3,"Top",19,81,0.19
"8",4,15,0.04,3,"Bottom",53,46,0.535353535353535
"9",5,15,0.01,3,"Top",16,82,0.163265306122449
"10",5,15,0.01,3,"Bottom",28,71,0.282828282828283
"11",6,15,0.01,5,"Bottom",35,65,0.35
"12",6,15,0.01,5,"Top",47,53,0.47
"13",7,15,0.12,3,"Bottom",87,13,0.87
"14",7,15,0.12,3,"Top",80,20,0.8
"15",8,15,0.04,2,"Bottom",78,22,0.78
"16",8,15,0.04,2,"Top",51,49,0.51
"17",9,15,0.12,1,"Bottom",63,34,0.649484536082474
"18",9,15,0.12,1,"Top",82,18,0.82
"19",10,15,0.01,2,"Bottom",32,68,0.32
"20",10,15,0.01,2,"Top",21,79,0.21
"21",11,15,0.01,1,"Bottom",30,69,0.303030303030303
"22",11,15,0.01,1,"Top",16,83,0.161616161616162
"23",12,15,0.04,4,"Bottom",51,49,0.51
"24",12,15,0.04,4,"Top",13,87,0.13
"25",13,15,0.12,4,"Top",58,42,0.58
"26",13,15,0.12,4,"Bottom",92,7,0.929292929292929
"27",14,15,0.01,4,"Bottom",34,63,0.350515463917526
"28",14,15,0.01,4,"Top",7,93,0.07
"29",15,15,0.12,5,"Top",84,16,0.84
"30",15,15,0.12,5,"Bottom",92,8,0.92
"31",16,11,0.01,4,"Bottom",39,60,0.393939393939394
"32",16,11,0.01,4,"Top",44,56,0.44
"33",17,11,0.12,3,"Bottom",98,1,0.98989898989899
"34",17,11,0.12,3,"Top",95,5,0.95
"35",18,11,0.01,1,"Bottom",8,30,0.210526315789474
"36",18,11,0.01,1,"Top",65,35,0.65
"37",19,11,0.04,1,"Bottom",80,20,0.8
"38",20,11,0.12,2,"Top",90,10,0.9
"39",20,11,0.12,2,"Bottom",88,12,0.88
"40",21,11,0.04,4,"Bottom",86,13,0.868686868686869
"41",21,11,0.04,4,"Top",85,15,0.85
"42",22,11,0.01,2,"Bottom",29,71,0.29
"43",22,11,0.01,2,"Top",10,90,0.1
"44",23,11,0.12,1,"Top",97,3,0.97
"45",23,11,0.12,1,"Bottom",96,4,0.96
"46",24,11,0.04,2,"Top",85,15,0.85
"47",24,11,0.04,2,"Bottom",86,14,0.86
"48",25,11,0.01,3,"Bottom",39,61,0.39
"49",25,11,0.01,3,"Top",12,88,0.12
"50",26,11,0.04,3,"Top",93,7,0.93
"51",26,11,0.04,3,"Bottom",93,7,0.93
"52",27,11,0.12,5,"Top",89,11,0.89
"53",27,11,0.12,5,"Bottom",93,7,0.93
"54",28,11,0.04,5,"Bottom",63,37,0.63
"55",28,11,0.04,5,"Top",83,17,0.83
"56",29,11,0.01,5,"Bottom",73,26,0.737373737373737
"57",29,11,0.01,5,"Top",60,39,0.606060606060606
"58",30,11,0.12,4,"Bottom",91,9,0.91
"59",30,11,0.12,4,"Top",92,8,0.92
