Temp;O2;DevPeriod;RepNumber;HatchDay
12;2.5;1;10;38
12;2.5;1;10;39
12;2.5;1;10;39
12;2.5;1;10;39
12;2.5;1;10;39
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;40
12;2.5;1;10;42
12;2.5;1;10;42
12;2.5;1;10;42
12;2.5;1;10;46
12;2.5;1;11;39
12;2.5;1;11;39
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;40
12;2.5;1;11;41
12;2.5;1;11;41
12;2.5;1;11;41
12;2.5;1;11;41
12;2.5;1;11;42
12;2.5;1;11;42
12;2.5;1;11;48
12;2.5;1;11;52
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;40
12;2.5;1;12;41
12;2.5;1;12;41
12;2.5;1;12;41
12;2.5;1;12;41
12;2.5;1;12;42
12;2.5;1;12;42
12;2.5;1;12;43
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;40
12;2.5;1;13;41
12;2.5;1;13;41
12;2.5;1;13;41
12;2.5;1;13;41
12;2.5;1;13;41
12;2.5;1;13;42
12;2.5;1;13;42
12;2.5;1;13;42
12;2.5;1;13;42
12;2.5;1;13;42
12;2.5;1;13;42
12;2.5;1;13;42
12;2.5;1;13;43
12;2.5;1;14;39
12;2.5;1;14;39
12;2.5;1;14;39
12;2.5;1;14;39
12;2.5;1;14;40
12;2.5;1;14;40
12;2.5;1;14;40
12;2.5;1;14;40
12;2.5;1;14;40
12;2.5;1;14;40
12;2.5;1;14;40
12;2.5;1;14;40
12;2.5;1;14;40
12;2.5;1;14;40
12;2.5;1;14;41
12;2.5;1;14;41
12;2.5;1;14;41
12;2.5;1;14;41
12;2.5;1;14;41
12;2.5;1;14;41
12;2.5;1;14;41
12;2.5;1;14;41
12;2.5;1;14;42
12;2.5;1;14;46
12;2.5;1;14;48
12;2.5;1;15;37
12;2.5;1;15;39
12;2.5;1;15;39
12;2.5;1;15;39
12;2.5;1;15;39
12;2.5;1;15;39
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;40
12;2.5;1;15;41
12;2.5;1;15;41
12;2.5;1;15;41
12;2.5;1;15;42
12;2.5;1;15;42
12;2.5;1;15;42
12;2.5;1;15;43
