"","devDay","temp","devStage","wellID","treatID","DOsat","DO_conc","mo2","DO_satconc"
"1",18,17,1,"A1",1,10,0.970568776414366,3.32473416113443,9.7
"2",18,17,1,"A1",1,20,1.94091656013939,3.78945603091966,9.7
"3",18,17,1,"A1",1,30,2.90870183536952,4.02904552496258,9.7
"4",18,17,1,"A1",1,40,3.88039628372061,4.15352925860754,9.7
"5",18,17,1,"A1",1,50,4.85011980419417,4.18013667591451,9.7
"6",18,17,1,"A1",1,60,5.82119933134842,4.19213930539989,9.7
"7",18,17,1,"A1",1,70,6.78828818342128,4.21417758480179,9.7
"8",18,17,1,"A1",1,80,7.76155650078318,4.24921357308818,9.7
"9",18,17,1,"A1",1,90,8.72920852062465,4.51232479995971,9.7
"10",18,17,1,"A1",1,100,9.70166672721249,5.17104280574344,9.7
"11",21,14.5,2,"A1",2,10,1.01980550424034,0.98552377772705,10.2
"12",21,14.5,2,"A1",2,20,2.04080884147561,1.72472113117104,10.2
"13",21,14.5,2,"A1",2,30,3.05909917803143,2.74219182788129,10.2
"14",21,14.5,2,"A1",2,40,4.08080088220883,3.59004564320032,10.2
"15",21,14.5,2,"A1",2,50,5.10192820626916,4.24519863599711,10.2
"16",21,14.5,2,"A1",2,60,6.11922852086945,4.77850983349865,10.2
"17",21,14.5,2,"A1",2,70,7.14021566782214,5.20377520245728,10.2
"18",21,14.5,2,"A1",2,80,8.15897155123354,5.46823300234256,10.2
"19",21,14.5,2,"A1",2,90,9.18153857859545,5.62845178066987,10.2
"20",21,14.5,2,"A1",2,100,10.1987831675382,5.73091831381677,10.2
"21",23,12,2,"A1",3,10,1.07963348077192,1.66838918742845,10.8
"22",23,12,2,"A1",3,20,2.15881577740974,2.78140877594163,10.8
"23",23,12,2,"A1",3,30,3.24006553338275,3.80399547706326,10.8
"24",23,12,2,"A1",3,40,4.32037196488902,4.71581281772524,10.8
"25",23,12,2,"A1",3,50,5.39913890576552,5.51788699216726,10.8
"26",23,12,2,"A1",3,60,6.47835743813126,6.22303251107381,10.8
"27",23,12,2,"A1",3,70,7.55989638734117,6.84332938001622,10.8
"28",23,12,2,"A1",3,80,8.64194121905751,7.38730407897636,10.8
"29",23,12,2,"A1",3,90,9.71964144951148,7.86142069889736,10.8
"30",23,12,2,"A1",3,100,10.8007416962434,8.2765477702282,10.8
"31",31,12,3,"A1",4,10,1.07961596816225,1.47810855030348,10.8
"32",31,12,3,"A1",4,20,2.1596969369778,2.85854150767113,10.8
"33",31,12,3,"A1",4,30,3.23872672712786,4.21736189601365,10.8
"34",31,12,3,"A1",4,40,4.32246057194556,5.42107548577341,10.8
"35",31,12,3,"A1",4,50,5.40173154367048,6.48608529147222,10.8
"36",31,12,3,"A1",4,60,6.482583216155,7.44436860886097,10.8
"37",31,12,3,"A1",4,70,7.5607841555826,8.31085190494579,10.8
"38",31,12,3,"A1",4,80,8.63938727569045,9.10187057962414,10.8
"39",31,12,3,"A1",4,90,9.71839436651426,9.82767132471996,10.8
"40",31,12,3,"A1",4,100,10.8010232682111,10.498200094392,10.8
"41",35,12,4,"A1",5,10,1.07918830757631,1.7939787269019,10.8
"42",35,12,4,"A1",5,20,2.16011830631842,3.06712999671134,10.8
"43",35,12,4,"A1",5,30,3.23918153579642,4.09767135127462,10.8
"44",35,12,4,"A1",5,40,4.31985308484941,4.99101629044897,10.8
"45",35,12,4,"A1",5,50,5.39884389122945,5.89063982630259,10.8
"46",35,12,4,"A1",5,60,6.48073876512652,6.82773980336432,10.8
"47",35,12,4,"A1",5,70,7.55854190108716,7.71034573036188,10.8
