"","temp","devDay","variable","value"
"1",12,25,"low",0.348377381326331
"2",12,32,"low",0.303544224194864
"3",12,39,"low",0.281367506339799
"4",14.5,25,"low",0.348434439071295
"5",14.5,32,"low",0.303593939101336
"6",14.5,39,"low",0.281413589111755
"7",17,25,"low",0.348491506161259
"8",17,32,"low",0.303643662150186
"9",17,39,"low",0.281459679431212
"10",12,25,"mid",0.645768501310433
"11",12,32,"mid",0.581929593602867
"12",12,39,"mid",0.550351682632761
"13",14.5,25,"mid",0.599185228125633
"14",14.5,32,"mid",0.539951415388674
"15",14.5,39,"mid",0.510651414304759
"16",17,25,"mid",0.555962294344515
"17",17,32,"mid",0.501001382616049
"18",17,39,"mid",0.473814971699566
"19",12,25,"high",1
"20",12,32,"high",0.982851033109185
"21",12,39,"high",0.734509111926948
"22",14.5,25,"high",1
"23",14.5,32,"high",0.833850711818212
"24",14.5,39,"high",0.623157452335108
"25",17,25,"high",1
"26",17,32,"high",0.70743885510318
"27",17,39,"high",0.528686716196114
