Date [DD-MM-YYYY],Time [HH:MM:SS],Time stamp,Relative time [HH:MM:SS],A1 [Phase],A2 [Phase],A3 [Phase],A4 [Phase],A5 [Phase],A6 [Phase],B1 [Phase],B2 [Phase],B3 [Phase],B4 [Phase],B5 [Phase],B6 [Phase],C1 [Phase],C2 [Phase],C3 [Phase],C4 [Phase],C5 [Phase],C6 [Phase],D1 [Phase],D2 [Phase],D3 [Phase],D4 [Phase],D5 [Phase],D6 [Phase],A1 [Amplitude],A2 [Amplitude],A3 [Amplitude],A4 [Amplitude],A5 [Amplitude],A6 [Amplitude],B1 [Amplitude],B2 [Amplitude],B3 [Amplitude],B4 [Amplitude],B5 [Amplitude],B6 [Amplitude],C1 [Amplitude],C2 [Amplitude],C3 [Amplitude],C4 [Amplitude],C5 [Amplitude],C6 [Amplitude],D1 [Amplitude],D2 [Amplitude],D3 [Amplitude],D4 [Amplitude],D5 [Amplitude],D6 [Amplitude],A1 [Oxygen],A2 [Oxygen],A3 [Oxygen],A4 [Oxygen],A5 [Oxygen],A6 [Oxygen],B1 [Oxygen],B2 [Oxygen],B3 [Oxygen],B4 [Oxygen],B5 [Oxygen],B6 [Oxygen],C1 [Oxygen],C2 [Oxygen],C3 [Oxygen],C4 [Oxygen],C5 [Oxygen],C6 [Oxygen],D1 [Oxygen],D2 [Oxygen],D3 [Oxygen],D4 [Oxygen],D5 [Oxygen],D6 [Oxygen]
11/2/19,10:19:40 AM,1.32172E+17,0:00:00,48.23,48.21,48.23,48.15,48.37,48.26,48.17,48.04,47.98,48.05,48.12,48.16,48.09,47.89,48.03,47.99,48,48.28,48.08,48.24,48.12,48.14,48.33,48.28,71384,68980,67720,71162,80478,77953,73929,71788,71471,70250,77925,85383,83577,65835,71092,70309,78565,87884,76762,71998,65803,82637,81268,87848,126.2,123.1,120.2,121,120.6,125.2,123.2,120.7,121,119,120.7,124.7,125.4,123.8,120.4,124.3,122,123.3,126.6,123.4,121.8,122.1,120.2,123.1
11/2/19,10:19:44 AM,1.32172E+17,0:00:04,48.23,48.21,48.22,48.14,48.37,48.26,48.18,48.05,47.97,48.03,48.13,48.16,48.08,47.89,48.02,47.98,48,48.27,48.08,48.24,48.11,48.14,48.33,48.28,71398,68985,67669,71244,80469,77908,73901,71885,71423,70268,77959,85334,83687,66063,70436,70293,78400,87940,76737,71961,65823,82632,81240,88065,126.2,123.1,120.4,121.2,120.6,125.2,123,120.5,121.2,119.4,120.5,124.7,125.6,123.8,120.6,124.5,122,123.5,126.6,123.4,122,122.1,120.2,123.1
11/2/19,10:19:49 AM,1.32172E+17,0:00:08,48.23,48.2,48.23,48.16,48.37,48.25,48.17,48.06,47.97,48.04,48.13,48.16,48.09,47.89,48.03,47.98,48,48.26,48.09,48.25,48.13,48.14,48.34,48.29,71404,69065,67672,71287,80500,77871,73991,72214,71553,70245,77905,85482,83714,66026,70462,70324,78400,87862,76805,71962,65976,82761,81113,87809,126.2,123.3,120.2,120.8,120.6,125.4,123.2,120.3,121.2,119.2,120.5,124.7,125.4,123.8,120.4,124.5,122,123.7,126.4,123.2,121.6,122.1,120,122.9
11/2/19,10:19:53 AM,1.32172E+17,0:00:12,48.23,48.21,48.22,48.14,48.36,48.25,48.18,48.04,47.97,48.02,48.12,48.15,48.1,47.9,48.03,47.98,47.99,48.25,48.11,48.26,48.13,48.16,48.34,48.29,69690,68385,65649,68487,76902,74128,72439,71113,70272,68568,75678,83465,83823,66152,70447,69555,76846,85903,78713,74001,67509,85572,81093,87240,126.2,123.1,120.4,121.2,120.8,125.4,123,120.7,121.2,119.6,120.7,124.9,125.2,123.6,120.4,124.5,122.2,124,126,123,121.6,121.7,120,122.9
11/2/19,10:19:57 AM,1.32172E+17,0:00:17,48.25,48.22,48.25,48.15,48.37,48.25,48.22,48.1,47.96,48.02,48.12,48.17,48.1,47.9,48.02,47.98,47.99,48.26,48.13,48.25,48.13,48.16,48.32,48.29,71089,67991,68782,70723,79203,76287,76626,82475,68487,68233,76332,85870,85366,65305,68659,67160,76095,86873,79297,70700,64660,82070,73573,86775,125.7,122.9,119.8,121,120.6,125.4,122.2,119.5,121.4,119.6,120.7,124.5,125.2,123.6,120.6,124.5,122.2,123.7,125.6,123.2,121.6,121.7,120.4,122.9
11/2/19,10:20:01 AM,1.32172E+17,0:00:21,48.27,48.22,48.25,48.15,48.39,48.28,48.22,48.06,47.96,48.03,48.13,48.17,48.12,47.91,48.03,47.98,48,48.27,48.13,48.26,48.13,48.1,48.29,48.31,75764,71337,69468,70785,80840,79072,76975,75384,69133,69007,77160,85992,85542,65669,68959,67900,76762,87345,79280,70945,65069,72020,68846,87156,125.3,122.9,119.8,121,120.2,124.7,122.2,120.3,121.4,119.4,120.5,124.5,124.8,123.4,120.4,124.5,122,123.5,125.6,123,121.6,122.9,121,122.4
11/2/19,10:20:06 AM,1.32172E+17,0:00:25,48.28,48.24,48.25,48.16,48.38,48.27,48.23,48.05,47.95,48.04,48.12,48.18,48.12,47.9,48.02,47.97,47.99,48.27,48.12,48.25,48.14,48.1,48.29,48.3,75707,71348,69442,70493,80585,78812,76938,73061,69040,68947,77097,86102,85006,65610,69127,67903,76864,87578,79162,70621,64947,71540,68914,87309,125.1,122.5,119.8,120.8,120.4,124.9,122,120.5,121.6,119.2,120.7,124.2,124.8,123.6,120.6,124.7,122.2,123.5,125.8,123.2,121.4,122.9,121,122.6
11/2/19,10:20:10 AM,1.32172E+17,0:00:30,48.28,48.24,48.25,48.17,48.4,48.29,48.23,48.05,47.97,48.04,48.13,48.17,48.13,47.9,48.03,47.97,47.99,48.28,48.14,48.26,48.15,48.11,48.31,48.31,75750,71325,69496,71230,80744,79143,77116,72718,69164,68936,77029,85734,85674,65547,68719,67646,76487,86786,79258,70650,65113,71475,68650,86512,125.1,122.5,119.8,120.6,120,124.5,122,120.5,121.2,119.2,120.5,124.5,124.6,123.6,120.4,124.7,122.2,123.3,125.4,123,121.2,122.7,120.6,122.4
11/2/19,10:20:14 AM,1.32172E+17,0:00:34,48.29,48.24,48.25,48.16,48.39,48.28,48.24,48.05,47.96,48.03,48.13,48.17,48.12,47.89,48.03,47.97,47.99,48.26,48.15,48.26,48.15,48.11,48.29,48.29,76444,71881,70137,71207,81124,79568,77150,72590,69408,69134,77267,85941,85600,65658,68829,67828,76750,87177,79229,70893,65097,71718,68637,86539,124.9,122.5,119.8,120.8,120.2,124.7,121.8,120.5,121.4,119.4,120.5,124.5,124.8,123.8,120.4,124.7,122.2,123.7,125.1,123,121.2,122.7,121,122.9
11/2/19,10:20:19 AM,1.32172E+17,0:00:38,48.29,48.24,48.26,48.16,48.39,48.28,48.24,48.04,47.95,48.02,48.12,48.17,48.12,47.89,48.02,47.96,47.98,48.27,48.15,48.25,48.16,48.12,48.3,48.31,76430,71816,70057,71261,81112,79693,77122,72505,69349,69123,77222,85856,85535,65776,68828,67774,76704,87227,79340,70768,65084,71735,68708,86509,124.9,122.5,119.5,120.8,120.2,124.7,121.8,120.7,121.6,119.6,120.7,124.5,124.8,123.8,120.6,124.9,122.4,123.5,125.1,123.2,121,122.5,120.8,122.4
