Date [DD-MM-YYYY],Time [HH:MM:SS],Time stamp,Relative time [HH:MM:SS],A1 [Phase],A2 [Phase],A3 [Phase],A4 [Phase],A5 [Phase],A6 [Phase],B1 [Phase],B2 [Phase],B3 [Phase],B4 [Phase],B5 [Phase],B6 [Phase],C1 [Phase],C2 [Phase],C3 [Phase],C4 [Phase],C5 [Phase],C6 [Phase],D1 [Phase],D2 [Phase],D3 [Phase],D4 [Phase],D5 [Phase],D6 [Phase],A1 [Amplitude],A2 [Amplitude],A3 [Amplitude],A4 [Amplitude],A5 [Amplitude],A6 [Amplitude],B1 [Amplitude],B2 [Amplitude],B3 [Amplitude],B4 [Amplitude],B5 [Amplitude],B6 [Amplitude],C1 [Amplitude],C2 [Amplitude],C3 [Amplitude],C4 [Amplitude],C5 [Amplitude],C6 [Amplitude],D1 [Amplitude],D2 [Amplitude],D3 [Amplitude],D4 [Amplitude],D5 [Amplitude],D6 [Amplitude],A1 [Oxygen],A2 [Oxygen],A3 [Oxygen],A4 [Oxygen],A5 [Oxygen],A6 [Oxygen],B1 [Oxygen],B2 [Oxygen],B3 [Oxygen],B4 [Oxygen],B5 [Oxygen],B6 [Oxygen],C1 [Oxygen],C2 [Oxygen],C3 [Oxygen],C4 [Oxygen],C5 [Oxygen],C6 [Oxygen],D1 [Oxygen],D2 [Oxygen],D3 [Oxygen],D4 [Oxygen],D5 [Oxygen],D6 [Oxygen]
11/5/19,10:48:35 AM,1.32175E+17,0:00:00,49.12,48.96,48.89,48.99,48.92,48.93,49,48.99,48.86,48.97,48.91,48.92,48.86,48.88,48.89,49.04,49.02,48.92,49.02,49,49.03,48.96,49.01,48.9,68930,57097,51839,45195,45235,41073,67119,62522,50572,45906,47143,43942,73344,55718,49616,45817,46354,42773,66670,60029,48596,47810,42200,43184,108.3,110.1,112.7,111.7,112.4,114.7,108,106.4,109.1,107.2,111,115,110.9,108,108.9,108,108,111.9,110.7,110.1,108.6,111.1,110.4,115.2
11/5/19,10:48:39 AM,1.32175E+17,0:00:04,49.11,48.95,48.87,48.99,48.9,48.92,49,48.96,48.83,48.95,48.9,48.9,48.84,48.87,48.87,49.02,48.99,48.91,49.01,48.98,49.02,48.94,48.98,48.88,68953,57100,51875,45207,45254,41039,67113,62459,50524,45895,47191,44078,73320,55648,49455,45597,46219,42722,66673,60197,48596,47803,42269,43109,108.5,110.2,113.1,111.7,112.8,114.9,108,107,109.7,107.6,111.2,115.4,111.3,108.2,109.3,108.4,108.6,112.1,110.9,110.5,108.8,111.5,111,115.6
11/5/19,10:48:44 AM,1.32175E+17,0:00:09,49.11,48.95,48.87,49,48.9,48.93,49,48.97,48.84,48.95,48.89,48.9,48.85,48.87,48.88,49.02,48.99,48.91,49.01,49,49.02,48.94,48.99,48.89,68944,57020,51938,45125,45215,41027,67221,62539,50668,45915,47231,44058,73380,55760,49625,45848,46319,42656,66715,60101,48625,47889,42325,43192,108.5,110.2,113.1,111.5,112.8,114.7,108,106.8,109.5,107.6,111.4,115.4,111.1,108.2,109.1,108.4,108.6,112.1,110.9,110.1,108.8,111.5,110.8,115.4
11/5/19,10:48:48 AM,1.32175E+17,0:00:13,49.11,48.97,48.87,48.98,48.89,48.92,48.99,48.98,48.83,48.96,48.91,48.91,48.86,48.87,48.87,49.04,48.99,48.92,49,48.99,49.02,48.94,48.98,48.89,68944,56950,51915,45147,45266,41007,67122,62505,50699,45943,47262,43962,73250,55654,49535,45823,46301,42654,66625,60108,48558,47848,42175,43134,108.5,109.9,113.1,111.9,113,114.9,108.2,106.6,109.7,107.4,111,115.2,110.9,108.2,109.3,108,108.6,111.9,111.1,110.3,108.8,111.5,111,115.4
11/5/19,10:48:52 AM,1.32175E+17,0:00:17,49.1,48.96,48.86,48.97,48.89,48.93,48.99,48.96,48.82,48.94,48.9,48.9,48.84,48.86,48.87,49.03,48.98,48.91,49,48.98,49,48.95,49.01,48.88,68924,57009,51918,45130,45297,41024,67113,62448,50453,45810,47177,44004,73202,55565,49464,45675,46307,42762,66626,60068,48675,47785,42215,43206,108.7,110.1,113.3,112.1,113,114.7,108.2,107,109.9,107.8,111.2,115.4,111.3,108.3,109.3,108.2,108.7,112.1,111.1,110.5,109.2,111.3,110.4,115.6
11/5/19,10:48:57 AM,1.32175E+17,0:00:22,49.12,48.97,48.87,48.98,48.91,48.93,49,48.98,48.84,48.96,48.91,48.91,48.85,48.87,48.88,49.03,48.99,48.92,49.01,49,49.02,48.94,48.99,48.89,68919,57003,51915,45130,45339,41050,67156,62238,50705,46031,47293,43987,73229,55493,49544,45848,46381,42650,66554,60117,48596,47739,42210,43180,108.3,109.9,113.1,111.9,112.6,114.7,108,106.6,109.5,107.4,111,115.2,111.1,108.2,109.1,108.2,108.6,111.9,110.9,110.1,108.8,111.5,110.8,115.4
11/5/19,10:49:01 AM,1.32175E+17,0:00:26,49.11,48.96,48.88,48.98,48.89,48.92,48.99,48.97,48.82,48.94,48.9,48.91,48.83,48.86,48.87,49.01,48.98,48.91,49,48.99,49.02,48.94,48.98,48.88,68992,56879,51912,45173,45305,41078,67142,62553,50646,45969,47282,43945,73341,55533,49634,45873,46392,42730,66593,60352,48639,47846,42215,43185,108.5,110.1,112.9,111.9,113,114.9,108.2,106.8,109.9,107.8,111.2,115.2,111.5,108.3,109.3,108.6,108.7,112.1,111.1,110.3,108.8,111.5,111,115.6
11/5/19,10:49:05 AM,1.32175E+17,0:00:30,49.1,48.97,48.87,48.97,48.89,48.92,48.99,48.97,48.83,48.93,48.91,48.92,48.83,48.86,48.87,49.01,49,48.9,49,48.99,49.02,48.93,49,48.9,68916,57001,51836,45139,45232,41070,67057,62502,50544,45813,47214,44075,73303,55721,49606,45952,46407,42629,66619,60303,48539,47765,42193,43127,108.7,109.9,113.1,112.1,113,114.9,108.2,106.8,109.7,107.9,111,115,111.5,108.3,109.3,108.6,108.4,112.3,111.1,110.3,108.8,111.7,110.6,115.2
11/5/19,10:49:10 AM,1.32175E+17,0:00:35,49.11,48.96,48.87,48.96,48.9,48.92,48.99,48.97,48.83,48.94,48.9,48.92,48.83,48.85,48.87,49.02,48.98,48.9,49,48.99,49.01,48.93,48.98,48.9,68953,57054,51861,45300,45280,41013,67059,62269,50541,45852,47160,44055,73297,55606,49481,45682,46275,42711,66550,61803,48575,47888,42209,43132,108.5,110.1,113.1,112.3,112.8,114.9,108.2,106.8,109.7,107.8,111.2,115,111.5,108.5,109.3,108.4,108.7,112.3,111.1,110.3,109,111.7,111,115.2
11/5/19,10:49:14 AM,1.32175E+17,0:00:39,49.11,48.96,48.85,48.97,48.89,48.92,48.98,48.97,48.81,48.94,48.89,48.92,48.82,48.85,48.84,49.01,48.98,48.9,49,48.98,49.02,48.94,49,48.88,68984,56938,51844,45071,45226,41016,67054,62490,50600,45926,47225,44001,73268,55563,49472,45753,46235,42644,66605,60150,48611,47860,42137,43032,108.5,110.1,113.5,112.1,113,114.9,108.4,106.8,110.1,107.8,111.4,115,111.7,108.5,109.9,108.6,108.7,112.3,111.1,110.5,108.8,111.5,110.6,115.6
