Date [DD-MM-YYYY],Time [HH:MM:SS],Time stamp,Relative time [HH:MM:SS],A1 [Phase],A2 [Phase],A3 [Phase],A4 [Phase],A5 [Phase],A6 [Phase],B1 [Phase],B2 [Phase],B3 [Phase],B4 [Phase],B5 [Phase],B6 [Phase],C1 [Phase],C2 [Phase],C3 [Phase],C4 [Phase],C5 [Phase],C6 [Phase],D1 [Phase],D2 [Phase],D3 [Phase],D4 [Phase],D5 [Phase],D6 [Phase],A1 [Amplitude],A2 [Amplitude],A3 [Amplitude],A4 [Amplitude],A5 [Amplitude],A6 [Amplitude],B1 [Amplitude],B2 [Amplitude],B3 [Amplitude],B4 [Amplitude],B5 [Amplitude],B6 [Amplitude],C1 [Amplitude],C2 [Amplitude],C3 [Amplitude],C4 [Amplitude],C5 [Amplitude],C6 [Amplitude],D1 [Amplitude],D2 [Amplitude],D3 [Amplitude],D4 [Amplitude],D5 [Amplitude],D6 [Amplitude],A1 [Oxygen],A2 [Oxygen],A3 [Oxygen],A4 [Oxygen],A5 [Oxygen],A6 [Oxygen],B1 [Oxygen],B2 [Oxygen],B3 [Oxygen],B4 [Oxygen],B5 [Oxygen],B6 [Oxygen],C1 [Oxygen],C2 [Oxygen],C3 [Oxygen],C4 [Oxygen],C5 [Oxygen],C6 [Oxygen],D1 [Oxygen],D2 [Oxygen],D3 [Oxygen],D4 [Oxygen],D5 [Oxygen],D6 [Oxygen]
11/12/19,10:48:55 AM,1.32181E+17,0:00:00,48.13,48.09,48.45,48.13,48.51,48.26,48.05,48.15,48.02,48.07,48.36,48.4,48.16,48.21,48.28,48.37,48.35,48.06,48.12,47.98,48.02,48.29,48.23,48.08,71609,68729,71388,67552,79146,75457,72876,68493,66897,73463,84326,84491,82460,63488,65831,78961,86065,82414,78289,79508,70908,82510,78966,83699,128.2,125.6,115.7,121.4,117.8,125.2,125.7,118.5,120.2,118.6,116,119.8,124,117.4,115.5,116.7,115.1,127.9,125.8,128.8,123.8,119.1,122.2,127.2
11/12/19,10:48:59 AM,1.32181E+17,0:00:04,48.12,48.1,48.45,48.13,48.51,48.28,48.05,48.17,48.03,48.06,48.36,48.39,48.17,48.22,48.28,48.36,48.35,48.06,48.12,47.98,48.01,48.3,48.24,48.08,71598,68562,71096,67564,78885,75414,72746,68406,66750,73291,84130,84432,82025,63318,65762,78754,86029,82228,78013,79376,70733,82205,78880,83716,128.4,125.4,115.7,121.4,117.8,124.7,125.7,118.1,120,118.8,116,120,123.7,117.2,115.5,116.9,115.1,127.9,125.8,128.8,124,118.9,122,127.2
11/12/19,10:49:03 AM,1.32181E+17,0:00:08,48.13,48.08,48.46,48.14,48.51,48.27,48.04,48.15,48.02,48.06,48.36,48.41,48.16,48.23,48.28,48.38,48.36,48.06,48.12,47.98,48,48.29,48.24,48.08,71592,68508,71105,67456,79035,75270,72718,68416,66775,73359,84144,84497,81992,63371,65758,78767,86187,82283,78181,79334,70858,82105,78806,83568,128.2,125.8,115.5,121.2,117.8,124.9,125.9,118.5,120.2,118.8,116,119.6,124,117,115.5,116.5,114.9,127.9,125.8,128.8,124.2,119.1,122,127.2
11/12/19,10:49:08 AM,1.32181E+17,0:00:12,48.13,48.09,48.46,48.14,48.52,48.29,48.05,48.17,48.02,48.06,48.37,48.4,48.18,48.22,48.28,48.39,48.37,48.07,48.13,47.98,48.02,48.32,48.25,48.09,71589,68513,71173,67351,78874,75239,72531,68456,66835,73257,84164,84505,82100,63179,65865,78768,85940,82220,77988,79394,70739,82400,78729,83687,128.2,125.6,115.5,121.2,117.6,124.5,125.7,118.1,120.2,118.8,115.8,119.8,123.5,117.2,115.5,116.3,114.7,127.7,125.6,128.8,123.8,118.5,121.8,127
11/12/19,10:49:12 AM,1.32181E+17,0:00:17,48.12,48.09,48.46,48.13,48.52,48.29,48.04,48.17,48.02,48.06,48.36,48.4,48.18,48.24,48.29,48.39,48.36,48.07,48.12,47.99,48.02,48.31,48.25,48.09,71592,68579,71252,67380,78922,75244,72502,68471,66767,73336,84153,84440,82055,63352,65886,78795,86036,82334,77990,79435,70799,82405,78827,83494,128.4,125.6,115.5,121.4,117.6,124.5,125.9,118.1,120.2,118.8,116,119.8,123.5,116.8,115.3,116.3,114.9,127.7,125.8,128.6,123.8,118.7,121.8,127
11/12/19,10:49:16 AM,1.32181E+17,0:00:21,48.12,48.09,48.47,48.12,48.52,48.28,48.03,48.16,48.01,48.05,48.37,48.41,48.19,48.23,48.3,48.39,48.37,48.05,48.12,47.97,48,48.31,48.26,48.11,71575,68494,71230,67419,78965,75247,72517,68357,66781,73362,84153,84508,82173,63263,65803,78780,85968,82272,78068,79435,71017,82062,78971,89880,128.4,125.6,115.3,121.6,117.6,124.7,126.1,118.3,120.4,119,115.8,119.6,123.3,117,115.1,116.3,114.7,128.1,125.8,129,124.2,118.7,121.6,126.6
11/12/19,10:49:20 AM,1.32181E+17,0:00:25,48.13,48.09,48.49,48.14,48.54,48.34,48.05,48.18,48.02,48.09,48.4,48.46,48.2,48.25,48.32,48.4,48.39,48.1,48.13,47.98,48.01,48.33,48.28,48.13,72793,70330,74723,71256,83929,83271,72670,69809,69249,77971,90440,91274,81897,63752,67698,80893,91270,90016,76996,79225,72618,84677,82794,91016,128.2,125.6,114.9,121.2,117.2,123.5,125.7,117.9,120.2,118.2,115.2,118.6,123.1,116.6,114.7,116.1,114.3,127.1,125.6,128.8,124,118.3,121.2,126.1
11/12/19,10:49:25 AM,1.32181E+17,0:00:30,48.12,48.08,48.48,48.13,48.54,48.33,48.03,48.18,48.01,48.07,48.39,48.45,48.19,48.23,48.3,48.4,48.37,48.09,48.12,47.98,48.02,48.32,48.26,48.12,72813,70216,74581,71055,83781,83257,72588,69807,69090,77968,90406,91699,81867,63814,67674,80920,91548,90040,76820,79164,72635,84943,82701,90797,128.4,125.8,115.1,121.4,117.2,123.7,126.1,117.9,120.4,118.6,115.4,118.8,123.3,117,115.1,116.1,114.7,127.3,125.8,128.8,123.8,118.5,121.6,126.3
11/12/19,10:49:29 AM,1.32181E+17,0:00:34,48.13,48.09,48.5,48.15,48.55,48.33,48.03,48.17,48.01,48.07,48.4,48.46,48.2,48.24,48.32,48.4,48.39,48.1,48.13,47.98,48.01,48.33,48.29,48.13,72844,70279,74641,71375,83886,83189,72732,69722,69150,77844,90528,91180,81861,63783,67690,80942,91234,89991,76843,79186,72605,84686,82639,90783,128.2,125.6,114.7,121,117,123.7,126.1,118.1,120.4,118.6,115.2,118.6,123.1,116.8,114.7,116.1,114.3,127.1,125.6,128.8,124,118.3,121,126.1
11/12/19,10:49:33 AM,1.32181E+17,0:00:38,48.13,48.1,48.5,48.13,48.55,48.34,48.02,48.18,48.01,48.07,48.41,48.46,48.2,48.24,48.32,48.41,48.39,48.09,48.12,47.97,48.02,48.34,48.29,48.13,72898,70358,74822,71301,83844,83192,72678,69759,69240,77994,90539,91143,81948,63754,67833,80994,91382,90053,76805,79127,72664,84674,82546,90863,128.2,125.4,114.7,121.4,117,123.5,126.3,117.9,120.4,118.6,115,118.6,123.1,116.8,114.7,115.9,114.3,127.3,125.8,129,123.8,118.1,121,126.1
