Date [DD-MM-YYYY],Time [HH:MM:SS],Time stamp,Relative time [HH:MM:SS],A1 [Phase],A2 [Phase],A3 [Phase],A4 [Phase],A5 [Phase],A6 [Phase],B1 [Phase],B2 [Phase],B3 [Phase],B4 [Phase],B5 [Phase],B6 [Phase],C1 [Phase],C2 [Phase],C3 [Phase],C4 [Phase],C5 [Phase],C6 [Phase],D1 [Phase],D2 [Phase],D3 [Phase],D4 [Phase],D5 [Phase],D6 [Phase],A1 [Amplitude],A2 [Amplitude],A3 [Amplitude],A4 [Amplitude],A5 [Amplitude],A6 [Amplitude],B1 [Amplitude],B2 [Amplitude],B3 [Amplitude],B4 [Amplitude],B5 [Amplitude],B6 [Amplitude],C1 [Amplitude],C2 [Amplitude],C3 [Amplitude],C4 [Amplitude],C5 [Amplitude],C6 [Amplitude],D1 [Amplitude],D2 [Amplitude],D3 [Amplitude],D4 [Amplitude],D5 [Amplitude],D6 [Amplitude],A1 [Oxygen],A2 [Oxygen],A3 [Oxygen],A4 [Oxygen],A5 [Oxygen],A6 [Oxygen],B1 [Oxygen],B2 [Oxygen],B3 [Oxygen],B4 [Oxygen],B5 [Oxygen],B6 [Oxygen],C1 [Oxygen],C2 [Oxygen],C3 [Oxygen],C4 [Oxygen],C5 [Oxygen],C6 [Oxygen],D1 [Oxygen],D2 [Oxygen],D3 [Oxygen],D4 [Oxygen],D5 [Oxygen],D6 [Oxygen]
11/21/19,10:21:48 AM,1.32188E+17,0:00:00,48.77,49.02,49.08,48.73,49.09,49.12,48.63,48.87,49,48.66,48.94,48.8,48.53,48.86,48.62,48.97,48.94,48.72,49.05,48.9,48.7,49.11,49,48.79,74927,70550,69722,70918,81972,82044,76760,73256,82052,80481,90579,88259,84500,71205,79240,80757,89758,89835,81200,79187,73609,84103,74189,83375,115.2,108.9,108.9,116.8,109,110.9,115.3,108.7,106.4,113.1,110.5,117.4,117.4,108.3,114.2,109.4,109.5,115.8,110.2,112.1,115,108.1,110.6,117.4
11/21/19,10:21:53 AM,1.32188E+17,0:00:04,48.78,49.02,49.09,48.73,49.09,49.13,48.63,48.88,49.02,48.67,48.96,48.8,48.54,48.87,48.63,48.99,48.94,48.73,49.04,48.91,48.69,49.13,49.02,48.8,74927,70567,69795,71006,81966,82081,76641,73358,82120,80554,90593,88203,84514,71291,79145,80779,89502,89767,81269,79212,73483,84132,74366,83225,115,108.9,108.7,116.8,109,110.7,115.3,108.5,106,112.9,110.1,117.4,117.2,108.2,114,109,109.5,115.6,110.4,111.9,115.2,107.7,110.2,117.2
11/21/19,10:21:57 AM,1.32188E+17,0:00:08,48.78,49.03,49.08,48.74,49.1,49.14,48.63,48.88,49.01,48.66,48.94,48.8,48.54,48.87,48.63,48.97,48.94,48.75,49.06,48.92,48.69,49.13,49.02,48.79,74927,70590,69727,70910,81907,81919,76661,73001,82009,80602,90559,88183,84487,71263,79488,80758,89677,89945,81306,79110,73411,83859,74350,83264,115,108.7,108.9,116.6,108.9,110.5,115.3,108.5,106.2,113.1,110.5,117.4,117.2,108.2,114,109.4,109.5,115.2,110,111.7,115.2,107.7,110.2,117.4
11/21/19,10:22:01 AM,1.32188E+17,0:00:12,48.79,49.03,49.09,48.72,49.1,49.13,48.64,48.88,49.02,48.65,48.95,48.79,48.53,48.88,48.61,48.97,48.95,48.72,49.05,48.92,48.7,49.15,49.02,48.79,74924,70723,69897,70850,81955,81834,76534,72893,82004,80478,90539,88259,84446,71203,79267,80793,89755,89924,81267,79156,73469,84076,74433,83027,114.8,108.7,108.7,117,108.9,110.7,115.1,108.5,106,113.3,110.3,117.6,117.4,108,114.4,109.4,109.3,115.8,110.2,111.7,115,107.3,110.2,117.4
11/21/19,10:22:06 AM,1.32188E+17,0:00:17,48.78,49.04,49.09,48.72,49.11,49.14,48.63,48.88,49.02,48.65,48.95,48.79,48.53,48.88,48.61,48.98,48.95,48.73,49.07,48.92,48.68,49.14,49.01,48.79,74944,70805,69790,70933,81981,82055,76664,73032,82185,80509,90474,88273,84489,71297,79184,80632,89570,89703,81245,79128,73475,84059,74367,83108,115,108.5,108.7,117,108.7,110.5,115.3,108.5,106,113.3,110.3,117.6,117.4,108,114.4,109.2,109.3,115.6,109.8,111.7,115.4,107.5,110.4,117.4
11/21/19,10:22:10 AM,1.32188E+17,0:00:21,48.78,49.05,49.11,48.73,49.11,49.15,48.64,48.9,49.03,48.66,48.96,48.79,48.54,48.88,48.61,48.99,48.96,48.73,49.08,48.94,48.7,49.16,49.04,48.79,74947,70771,69883,70856,82009,82047,76726,72991,82072,80483,90434,88316,84553,71317,79149,80809,89505,89688,81251,79144,73494,83980,74209,83089,115,108.3,108.3,116.8,108.7,110.3,115.1,108.1,105.8,113.1,110.1,117.6,117.2,108,114.4,109,109.1,115.6,109.6,111.3,115,107.1,109.8,117.4
11/21/19,10:22:14 AM,1.32188E+17,0:00:25,48.79,49.05,49.11,48.74,49.11,49.16,48.63,48.9,49.03,48.65,48.95,48.79,48.54,48.89,48.61,49,48.96,48.73,49.08,48.95,48.69,49.17,49.04,48.78,74958,70714,69878,70981,81944,82002,76672,72934,82140,80503,90502,88231,84533,71318,79356,80851,89737,89948,81444,79155,73422,84038,74271,83083,114.8,108.3,108.3,116.6,108.7,110.1,115.3,108.1,105.8,113.3,110.3,117.6,117.2,107.8,114.4,108.8,109.1,115.6,109.6,111.1,115.2,107,109.8,117.6
11/21/19,10:22:19 AM,1.32188E+17,0:00:30,48.79,49.06,49.12,48.73,49.12,49.17,48.64,48.91,49.05,48.65,48.96,48.79,48.54,48.9,48.61,49,48.97,48.74,49.1,48.95,48.7,49.17,49.04,48.8,74975,70799,69866,70814,81992,82027,76678,72926,82075,80478,90607,88302,84393,71331,79084,80956,89827,89847,81092,79013,73446,84187,74548,83267,114.8,108.1,108.1,116.8,108.5,109.9,115.1,107.9,105.5,113.3,110.1,117.6,117.2,107.6,114.4,108.8,108.9,115.4,109.2,111.1,115,107,109.8,117.2
11/21/19,10:22:23 AM,1.32188E+17,0:00:34,48.79,49.06,49.12,48.73,49.13,49.18,48.63,48.9,49.05,48.65,48.98,48.8,48.55,48.9,48.61,49,48.97,48.73,49.09,48.95,48.69,49.18,49.06,48.79,74938,70729,69920,70850,82018,82013,76735,72976,82086,80478,90639,88231,84483,71326,79143,80840,89593,89837,81270,79162,73458,84353,74485,83144,114.8,108.1,108.1,116.8,108.3,109.7,115.3,108.1,105.5,113.3,109.7,117.4,117,107.6,114.4,108.8,108.9,115.6,109.4,111.1,115.2,106.8,109.5,117.4
11/21/19,10:22:27 AM,1.32188E+17,0:00:38,48.8,49.07,49.14,48.73,49.14,49.2,48.64,48.92,49.06,48.65,48.98,48.79,48.56,48.91,48.61,49,48.97,48.74,49.11,48.97,48.7,49.2,49.06,48.8,74955,70717,69884,70969,82112,82065,76808,73397,82132,80540,90579,88409,84384,71324,79257,80830,89757,89775,81345,79126,73565,84120,74250,83211,114.6,107.9,107.7,116.8,108.1,109.3,115.1,107.7,105.3,113.3,109.7,117.6,116.8,107.4,114.4,108.8,108.9,115.4,109,110.7,115,106.4,109.5,117.2
11/21/19,10:22:32 AM,1.32188E+17,0:00:43,48.81,49.08,49.14,48.73,49.15,49.19,48.64,48.92,49.06,48.65,48.98,48.8,48.55,48.92,48.61,49.01,48.98,48.73,49.12,48.97,48.7,49.21,49.08,48.8,74972,70882,69960,70913,82100,82028,76684,73031,82225,80475,90474,88324,84482,71537,79100,80849,89631,89684,81135,79243,73593,84073,74330,83082,114.4,107.7,107.7,116.8,107.9,109.5,115.1,107.7,105.3,113.3,109.7,117.4,117,107.2,114.4,108.6,108.7,115.6,108.8,110.7,115,106.2,109.1,117.2
