"","RepNumber","devDay","Tray","Basket","Rep","DevPeriod","Temp","O2","TreatmentID","Survived","morts"
"1",10,21,1,19,"A",1,12,2.5,1,24,1
"2",11,21,1,22,"A",1,12,2.5,1,24,1
"3",12,21,1,25,"A",1,12,2.5,1,24,1
"4",13,21,2,20,"B",1,12,2.5,1,25,0
"5",14,21,2,23,"B",1,12,2.5,1,25,0
"6",15,21,2,26,"B",1,12,2.5,1,25,0
"7",16,21,3,21,"C",1,12,2.5,1,24,1
"8",17,21,3,24,"C",1,12,2.5,1,25,0
"9",18,21,3,27,"C",1,12,2.5,1,25,0
"10",46,21,1,10,"A",1,12,5,2,25,0
"11",47,21,1,13,"A",1,12,5,2,24,1
"12",48,21,1,16,"A",1,12,5,2,25,0
"13",49,21,2,11,"B",1,12,5,2,22,3
"14",50,21,2,14,"B",1,12,5,2,24,1
"15",51,21,2,17,"B",1,12,5,2,24,1
"16",52,21,3,12,"C",1,12,5,2,25,0
"17",53,21,3,15,"C",1,12,5,2,25,0
"18",54,21,3,18,"C",1,12,5,2,24,1
"19",82,21,1,1,"A",1,12,11,3,24,1
"20",83,21,1,4,"A",1,12,11,3,25,0
"21",84,21,1,7,"A",1,12,11,3,24,1
"22",85,21,2,2,"B",1,12,11,3,24,1
"23",86,21,2,5,"B",1,12,11,3,25,0
"24",87,21,2,8,"B",1,12,11,3,25,0
"25",88,21,3,3,"C",1,12,11,3,24,1
"26",89,21,3,6,"C",1,12,11,3,25,0
"27",90,21,3,9,"C",1,12,11,3,25,0
"28",118,21,4,46,"A",1,14.5,2.5,4,24,1
"29",119,21,4,49,"A",1,14.5,2.5,4,24,1
"30",120,21,4,52,"A",1,14.5,2.5,4,21,4
"31",121,21,5,47,"B",1,14.5,2.5,4,25,0
"32",122,21,5,50,"B",1,14.5,2.5,4,25,0
"33",123,21,5,53,"B",1,14.5,2.5,4,24,1
"34",124,21,6,48,"C",1,14.5,2.5,4,24,1
"35",125,21,6,51,"C",1,14.5,2.5,4,25,0
"36",126,21,6,54,"C",1,14.5,2.5,4,25,0
"37",154,21,1,37,"A",1,14.5,5,5,25,0
"38",155,21,4,40,"A",1,14.5,5,5,25,0
"39",156,21,4,43,"A",1,14.5,5,5,23,2
"40",157,21,2,38,"B",1,14.5,5,5,24,1
"41",158,21,5,41,"B",1,14.5,5,5,25,0
"42",159,21,5,44,"B",1,14.5,5,5,25,0
"43",160,21,3,39,"C",1,14.5,5,5,25,0
"44",161,21,6,42,"C",1,14.5,5,5,25,0
"45",162,21,6,45,"C",1,14.5,5,5,24,1
"46",190,21,1,28,"A",1,14.5,11,6,25,0
