"","Tray","Basket","Rep","DevPeriod","Temp","O2","Duration","RepNumber","Comments","devDay","month","day","Category","value","DO"
"1",1,19,"A",1,12,2.5,6,10,"",15,10,30,"Mort",0,2.5
"2",1,19,"A",1,12,2.5,6,10,"",16,10,31,"Mort",0,2.5
"3",1,19,"A",1,12,2.5,6,10,"",17,11,1,"Mort",0,2.5
"4",1,19,"A",1,12,2.5,6,10,"",18,11,2,"Mort",0,2.5
"5",1,19,"A",1,12,2.5,6,10,"",19,11,3,"Mort",0,2.5
"6",1,19,"A",1,12,2.5,6,10,"",20,11,4,"Mort",0,2.5
"7",1,19,"A",1,12,2.5,6,10,"",21,11,5,"Mort",0,2.5
"8",1,19,"A",1,12,2.5,6,10,"",22,11,6,"Mort",0,2.5
"9",1,19,"A",1,12,2.5,6,10,"",23,11,7,"Mort",0,2.5
"10",1,19,"A",1,12,2.5,6,10,"",24,11,8,"Mort",0,2.5
"11",1,19,"A",1,12,2.5,6,10,"",25,11,9,"Mort",0,2.5
"12",1,19,"A",1,12,2.5,6,10,"",26,11,10,"Mort",0,2.5
"13",1,19,"A",1,12,2.5,6,10,"",27,11,11,"Mort",0,2.5
"14",1,19,"A",1,12,2.5,6,10,"",28,11,12,"Mort",0,2.5
"15",1,19,"A",1,12,2.5,6,10,"",29,11,13,"Mort",0,2.5
"16",1,19,"A",1,12,2.5,6,10,"",30,11,14,"Mort",0,2.5
"17",1,19,"A",1,12,2.5,6,10,"",31,11,15,"Hatch",0,2.5
"18",1,19,"A",1,12,2.5,6,10,"",31,11,15,"Mort",0,2.5
"19",1,19,"A",1,12,2.5,6,10,"",32,11,16,"Hatch",0,2.5
"20",1,19,"A",1,12,2.5,6,10,"",32,11,16,"Mort",0,2.5
"21",1,19,"A",1,12,2.5,6,10,"",33,11,17,"Hatch",0,2.5
"22",1,19,"A",1,12,2.5,6,10,"",33,11,17,"Mort",0,2.5
"23",1,19,"A",1,12,2.5,6,10,"",34,11,18,"Hatch",0,2.5
"24",1,19,"A",1,12,2.5,6,10,"",34,11,18,"Mort",0,2.5
"25",1,19,"A",1,12,2.5,6,10,"",35,11,19,"Hatch",0,2.5
"26",1,19,"A",1,12,2.5,6,10,"",35,11,19,"Hatchling mort",0,2.5
"27",1,19,"A",1,12,2.5,6,10,"",35,11,19,"Mort",0,2.5
"28",1,19,"A",1,12,2.5,6,10,"",36,11,20,"Hatch",0,2.5
"29",1,19,"A",1,12,2.5,6,10,"",36,11,20,"Hatchling mort",0,2.5
"30",1,19,"A",1,12,2.5,6,10,"",36,11,20,"Mort",0,2.5
"31",1,19,"A",1,12,2.5,6,10,"",37,11,21,"Hatch",0,2.5
"32",1,19,"A",1,12,2.5,6,10,"",37,11,21,"Hatchling mort",0,2.5
"33",1,19,"A",1,12,2.5,6,10,"",37,11,21,"Mort",0,2.5
"34",1,19,"A",1,12,2.5,6,10,"",38,11,22,"Hatch",1,2.5
"35",1,19,"A",1,12,2.5,6,10,"",38,11,22,"Hatchling mort",0,2.5
"36",1,19,"A",1,12,2.5,6,10,"",38,11,22,"Mort",0,2.5
"37",1,19,"A",1,12,2.5,6,10,"",39,11,23,"Hatch",4,2.5
"38",1,19,"A",1,12,2.5,6,10,"",39,11,23,"Hatchling mort",0,2.5
"39",1,19,"A",1,12,2.5,6,10,"",39,11,23,"Mort",0,2.5
"40",1,19,"A",1,12,2.5,6,10,"",40,11,24,"Hatch",15,2.5
"41",1,19,"A",1,12,2.5,6,10,"",40,11,24,"Hatchling mort",0,2.5
"42",1,19,"A",1,12,2.5,6,10,"",40,11,24,"Mort",0,2.5
"43",1,19,"A",1,12,2.5,6,10,"",41,11,25,"Hatch",0,2.5
"44",1,19,"A",1,12,2.5,6,10,"",41,11,25,"Hatchling mort",0,2.5
"45",1,19,"A",1,12,2.5,6,10,"",41,11,25,"Mort",0,2.5
"46",1,19,"A",1,12,2.5,6,10,"",42,11,26,"Hatch",3,2.5
"47",1,19,"A",1,12,2.5,6,10,"",42,11,26,"Hatchling mort",0,2.5
"48",1,19,"A",1,12,2.5,6,10,"",42,11,26,"Mort",1,2.5
"49",1,19,"A",1,12,2.5,6,10,"",43,11,27,"Hatch",0,2.5
"50",1,19,"A",1,12,2.5,6,10,"",43,11,27,"Hatchling mort",0,2.5
"51",1,19,"A",1,12,2.5,6,10,"",43,11,27,"Mort",0,2.5
"52",1,19,"A",1,12,2.5,6,10,"",44,11,28,"Hatch",0,2.5
"53",1,19,"A",1,12,2.5,6,10,"",44,11,28,"Hatchling mort",0,2.5
"54",1,19,"A",1,12,2.5,6,10,"",44,11,28,"Mort",0,2.5
"55",1,19,"A",1,12,2.5,6,10,"",46,11,30,"Hatch",1,2.5
"56",1,19,"A",1,12,2.5,6,10,"",46,11,30,"Hatchling mort",0,2.5
"57",1,19,"A",1,12,2.5,6,10,"",46,11,30,"Mort",0,2.5
"58",1,19,"A",1,12,2.5,6,10,"",48,12,2,"Hatch",0,2.5
"59",1,19,"A",1,12,2.5,6,10,"",48,12,2,"Hatchling mort",0,2.5
"60",1,19,"A",1,12,2.5,6,10,"",48,12,2,"Mort",0,2.5
"61",1,19,"A",1,12,2.5,6,10,"",52,12,6,"Hatch",0,2.5
"62",1,19,"A",1,12,2.5,6,10,"",52,12,6,"Hatchling mort",0,2.5
"63",1,19,"A",1,12,2.5,6,10,"",52,12,6,"Mort",0,2.5
"64",1,19,"A",1,12,2.5,6,10,"",55,12,9,"Hatch",0,2.5
"65",1,19,"A",1,12,2.5,6,10,"",55,12,9,"Hatchling mort",0,2.5
"66",1,19,"A",1,12,2.5,6,10,"",55,12,9,"Mort",0,2.5
"67",1,19,"A",1,12,2.5,6,10,"",59,12,13,"Hatchling mort",0,2.5
